,Actual,Predicted
348,[0.8  4.   1.37],[0.78478444 4.014105   1.3028646 ]
349,[0.8  1.6  1.57],[0.80807877 1.6194928  1.5152124 ]
350,[1.6  4.   1.37],[1.6009393 3.9859476 1.4817587]
351,[1.6  1.6  0.17],[1.6257334  1.6001079  0.27020055]
352,[0.8  4.   1.17],[0.7793957 4.0099554 1.1776679]
353,[2.4  1.6  0.17],[2.410054   1.6111822  0.15944596]
354,[1.6  3.2  0.97],[1.4785082 3.249836  1.0294068]
355,[1.6  4.   0.17],[1.6212355  3.9751859  0.26020378]
356,[3.2  1.6  0.97],[3.1663966 1.6331146 1.1823813]
357,[4.   0.8  1.37],[4.015927  0.8130734 1.2919978]
358,[0.8  4.   0.57],[0.8150046 4.0998425 0.666898 ]
359,[0.8  4.   1.57],[0.98357224 3.7972445  1.5114255 ]
360,[0.8  2.4  2.17],[0.76518667 2.3891654  2.1390066 ]
361,[2.4  0.8  0.77],[2.428628  0.7948327 0.7613511]
362,[1.6  1.6  0.37],[1.5996956  1.5996444  0.48775524]
363,[2.4  1.6  1.37],[2.418128  1.6448619 1.2740623]
364,[4.   1.6  2.17],[4.0217123 1.5955918 2.1012425]
365,[0.8  3.2  1.77],[0.72507465 3.2031956  1.7060838 ]
366,[0.8  3.2  0.97],[0.7984154  3.2050414  0.89584404]
367,[2.4  1.6  0.37],[2.438558   1.7793317  0.54740924]
368,[2.4  2.4  0.57],[2.4191713 2.4097273 0.5049139]
369,[3.2  1.6  2.17],[3.0955    1.7072206 2.0657656]
370,[2.4  0.8  1.97],[2.4133384 0.7914528 1.905395 ]
371,[4.   0.8  1.37],[4.018294   0.80663395 1.2597846 ]
372,[3.2  3.2  0.57],[3.2231982  3.2087216  0.81311524]
373,[2.4  0.8  0.57],[2.3944144  0.8192479  0.57588446]
374,[2.4  1.6  2.17],[2.4046743 1.5991082 2.0733666]
375,[1.6  0.8  1.37],[1.604928  0.7999136 1.3805684]
376,[2.4  2.4  1.77],[2.4430082 2.3872657 1.3776345]
377,[4.   2.4  0.37],[4.139198   2.416094   0.40572965]
378,[4.   1.6  0.37],[3.9776504 1.5914292 0.4256463]
379,[1.6  4.   1.57],[1.6032053 4.0205    1.5315003]
380,[4.   3.2  1.57],[4.025262 3.225209 1.819762]
381,[0.8  0.8  0.97],[0.7932818 0.8307686 1.1968509]
382,[4.   3.2  0.37],[4.027163  3.2391114 0.5440306]
383,[0.8  4.   0.37],[0.8183379  4.020782   0.31852645]
384,[3.2  3.2  1.77],[3.244993  3.2270768 2.0064983]
385,[1.6  3.2  0.97],[1.5200641 3.2714455 1.0550267]
386,[2.4  0.8  0.37],[2.407798   0.8137945  0.18850064]
387,[3.2  1.6  1.17],[3.2620952 1.4418476 1.2768322]
388,[3.2  2.4  2.17],[3.2150447 2.4405231 2.119169 ]
389,[4.   3.2  0.77],[4.0369396 3.2408876 1.0605278]
390,[3.2  2.4  0.37],[3.2163754  2.3985007  0.18065844]
391,[3.2  3.2  1.97],[3.1960921 3.2546754 2.1453364]
392,[1.6  0.8  0.17],[1.5725743  0.79157406 0.30609128]
